internal-drainage-board	name	legislation	start-date	end-date
IDB34	Goole Fields District Drainage Board			
IDB35	Haddenham Level Drainage Commissioners			
IDB36	Holmewood and District Internal Drainage Board			
IDB37	Hundred Foot Washes Internal Drainage Board			
IDB38	Hundred of Wisbech Internal Drainage Board			
IDB39	King's Lynn Internal Drainage Board	uksi-2013-3317	2013-10-25	
IDB40	Kyle and Upper Ouse Internal Drainage Board			
IDB41	Lakenheath Internal Drainage Board			
IDB42	Lindsey Marsh Drainage Board			
IDB43	Littleport and Downham Internal Drainage Board			
IDB44	Lower Medway Internal Drainage Board			
IDB45	Lower Severn Internal Drainage Board	uksi-2005-430	2005-04-01	
IDB46	Manea and Welney District Drainage Commissioners			
IDB47	March west and White Fen Internal Drainage Board	uksi-2016-482	2016-04-02	
IDB48	March Third District Drainage Commissioners			
IDB49	March Fifth District Drainage Commissioners			
IDB50	March Sixth District Drainage Commissioners			
IDB51	March East Internal Drainage Board			
IDB52	Melverley Internal Drainage Board			
IDB53	Middle Fen and Mere Internal Drainage Board			
IDB54	Middle Level Commissioners			
IDB55	Mildenhall Internal Drainage Board			
IDB56	Needham and Ladus Internal Drainage Board		2012-02-25	
IDB57	Nightlayers Internal Drainage Board			
IDB58	Nordelph Internal Drainage Board			
IDB59	Norfolk Rivers Internal Drainage Board			
IDB60	North East Lindsey Drainage Board			
IDB61	North Level District Internal Drainage Board	uksi-2005-3601	2006-02-10	
IDB62	North Somerset Levels Internal Drainage Board	uksi-2005-2725	2005-11-01	
IDB63	Northwold Internal Drainage Board			
IDB64	Old West Internal Drainage Board			
IDB65	Ouse and Derwent Internal Drainage Board			
IDB66	Ouse and Humber Drainage Board	uksi-2012-1030	2012-02-11	
IDB67	Over and Willingham Internal Drainage Board			
IDB68	Padnal and Waterden Internal Drainage Board			
IDB69	Parrett Internal Drainage Board	uksi-2005-431	2005-04-01	
IDB70	Ramsey Internal Drainage Board	uksi-2005-2477	2005-10-01	
IDB71	Ramsey First (Hollow) Internal Drainage Board			
IDB72	Ramsey Fourth (Middlemoor) Internal Drainage Board			
IDB73	Ramsey Upwood and Great Raveley Internal Drainage Board			
IDB74	Ransonmoor District Drainage Commissioners			
IDB75	Rawcliffe Internal Drainage Board			
IDB76	Rea Internal Drainage Board			
IDB77	Reedness and Swinefleet Drainage Board			
IDB78	River Lugg Internal Drainage Board			
IDB79	River Stour (Kent) Internal Drainage Board			
IDB80	Romney Marshes Area Internal Drainage Board			
IDB81	Sawtry Internal Drainage Board			
IDB82	Scunthorpe and Gainsborough Water Management Board		2011-01-27	
IDB83	Selby Area Internal Drainage Board			
IDB84	South Holderness Internal Drainage Board	uksi-2013-819	2013-02-07	
IDB85	South Holland Internal Drainage Board			
IDB86	Southery and District Internal Drainage Board			
IDB87	Sow and Penk Internal Drainage Board			
IDB88	Stoke Ferry Internal Drainage Board			
IDB89	Strine Internal Drainage Board			
IDB90	Stringside Internal Drainage Board			
IDB91	Sutton and Mepal Internal Drainage Board			
IDB92	Swaffham Internal Drainage Board			
IDB93	Swale and Ure Internal Drainage Board	uksi-2012-1031	2012-01-14	
IDB94	Swavesey Internal Drainage Board			
IDB95	Thorntree Internal Drainage Board			
IDB96	Trent Valley Internal Drainage Board		2012-02-11	
IDB97	Upper Medway Internal Drainage Board			
IDB98	Upper Witham Internal Drainage Board			
IDB99	Upwell Internal Drainage Board			
